2018-05-06 19:40:23,452 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-9801a79b5e9b-1525615821750-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/z063407/tuts/udemy/learncamel/data/input/file2.txt, CamelFileLastModified=1525606678000, CamelFileLength=35, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input, CamelFilePath=data/input/file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2018-05-06 19:40:27,430 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-05-06 19:40:27,431 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-05-06 19:40:27,434 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2018-05-06 19:40:27,434 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-05-06 19:40:27,448 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.459 seconds
2018-05-06 19:40:27,449 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.022 seconds
2018-05-06 20:09:30,007 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-05-06 20:09:30,013 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-05-06 20:09:30,292 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-05-06 20:09:30,484 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-05-06 20:09:30,490 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-05-06 20:09:30,490 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-05-06 20:09:30,539 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-05-06 20:09:30,539 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-05-06 20:09:30,571 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input?noop=true
2018-05-06 20:09:30,575 | INFO | DefaultCamelContext.java 4026 | Route: route2 started and consuming from: file://data/input1?noop=true
2018-05-06 20:09:30,576 | INFO | DefaultCamelContext.java 3195 | Total 2 routes, of which 2 are started
2018-05-06 20:09:30,579 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.573 seconds
